Subject,Crossover,Narrow,Wide,Limb_Dominant
0,0.0572585,0.0593381,0.066048,1
1,0.0563893,0.0532465,0.0404657,1
2,0.037779,0.0455873,0.075171,1
3,0.0612024,0.0451164,0.0147834,1
4,0.0589269,0.0494962,0.0171035,1
5,0.125112,0.0973821,0.0391232,1
6,0.192324,0.173714,0.130808,1
7,0.0751822,0.067002,0.0240271,1
8,0.0981285,0.0955341,0.0857021,1
9,0.115939,0.113516,0.102272,1
10,0.0825654,0.0715862,0.0374617,1
11,0.0923829,0.0849793,0.0649938,1
12,0.0930071,0.0790049,0.052349,1
13,0.0838131,0.0753899,0.0446945,1
14,0.054585,0.0478241,0.0336564,1
15,0.0863315,0.0783707,0.0597336,1
0,0.0669966,0.0683853,0.0732574,0
1,0.090223,0.0844289,0.0609183,0
2,0.132998,0.132472,0.130513,0
3,0.110042,0.0873448,0.0430207,0
4,0.0816604,0.0750505,0.0552671,0
5,0.25314,0.199852,0.105343,0
6,0.108711,0.0783713,0.00441681,0
7,0.0682289,0.0615566,0.0209462,0
8,0.13341,0.126705,0.102428,0
9,0.1046,0.0975229,0.0648229,0
10,0.10132,0.0924741,0.0617463,0
11,0.16593,0.15749,0.137668,0
12,0.0863436,0.0743801,0.0515672,0
13,0.0586576,0.049961,0.0199971,0
14,0.0767414,0.0654143,0.0410158,0
15,0.0546669,0.0469008,0.0274032,0
