Subject,Crossover,Narrow,Wide,Limb_Dominant
0,0.217301,0.212281,0.196083,1
1,0.282109,0.280688,0.274913,1
2,0.135263,0.123483,0.0788537,1
3,0.183876,0.224358,0.300694,1
4,0.237078,0.229971,0.20556,1
5,0.262091,0.244767,0.208372,1
6,0.441322,0.403651,0.316796,1
7,0.274504,0.261317,0.19204,1
8,0.349013,0.346304,0.336039,1
9,0.380415,0.382885,0.394344,1
10,0.283728,0.253019,0.157574,1
11,0.267896,0.240147,0.165241,1
12,0.2749,0.27284,0.26892,1
13,0.262125,0.24215,0.169358,1
14,0.33332,0.332457,0.330649,1
15,0.251496,0.249266,0.244045,1
0,0.233637,0.232387,0.228,0
1,0.295188,0.292883,0.283531,0
2,0.308316,0.304579,0.290662,0
3,0.237647,0.223901,0.197057,0
4,0.286251,0.271304,0.226569,0
5,0.376018,0.365424,0.346635,0
6,0.282799,0.240233,0.136477,0
7,0.194065,0.186027,0.137101,0
8,0.368854,0.358646,0.321686,0
9,0.339265,0.326826,0.269346,0
10,0.29558,0.286478,0.25486,0
11,0.49002,0.452219,0.363436,0
12,0.26487,0.251134,0.224942,0
13,0.190708,0.173766,0.115392,0
14,0.340768,0.316894,0.265468,0
15,0.255136,0.229601,0.165495,0
