Subject,Crossover,Narrow,Wide,Limb_Dominant
0,0.2047,0.203284,0.198714,1
1,0.280427,0.280297,0.27977,1
2,0.128858,0.1212,0.0921826,1
3,0.201996,0.228072,0.277244,1
4,0.238146,0.22819,0.193993,1
5,0.240406,0.237745,0.232154,1
6,0.436763,0.403237,0.325936,1
7,0.264535,0.253341,0.194532,1
8,0.343763,0.340586,0.328547,1
9,0.366364,0.368134,0.376343,1
10,0.273408,0.247481,0.166898,1
11,0.27086,0.240459,0.158394,1
12,0.277294,0.270583,0.257808,1
13,0.224211,0.216226,0.187129,1
14,0.346895,0.336915,0.316,1
15,0.260807,0.250928,0.2278,1
0,0.23783,0.234747,0.22393,0
1,0.273747,0.2737,0.273511,0
2,0.311318,0.305203,0.282427,0
3,0.216018,0.212257,0.204911,0
4,0.284864,0.269855,0.224932,0
5,0.361803,0.3583,0.352088,0
6,0.288759,0.23934,0.118879,0
7,0.193222,0.18568,0.139781,0
8,0.34793,0.344917,0.334011,0
9,0.323615,0.315692,0.279081,0
10,0.293247,0.285127,0.256923,0
11,0.473662,0.444026,0.374421,0
12,0.2513,0.243642,0.229037,0
13,0.199143,0.178238,0.106211,0
14,0.315113,0.303622,0.278869,0
15,0.245568,0.22827,0.184841,0
