Subject,Crossover,Narrow,Wide,Limb_Dominant
0,0.155376,0.154246,0.150602,1
1,0.27709,0.290705,0.34607,1
2,0.0338439,0.0346475,0.0376922,1
3,0.257827,0.254076,0.247002,1
4,0.122948,0.131934,0.162799,1
5,0.140957,0.128918,0.103623,1
6,0.166262,0.165909,0.165095,1
7,0.1719,0.175399,0.193779,1
8,0.131655,0.148588,0.21276,1
9,0.165716,0.165702,0.165639,1
10,0.08997,0.0898673,0.0895479,1
11,0.0683635,0.0683714,0.0683927,1
12,0.0432849,0.0433241,0.0433986,1
13,0.0326213,0.0326286,0.0326552,1
14,0.222821,0.222615,0.222182,1
15,0.108488,0.113825,0.126321,1
0,0.303574,0.306486,0.316704,0
1,0.234505,0.243002,0.277483,0
2,0.104259,0.104277,0.104342,0
3,0.208945,0.192025,0.158984,0
4,0.193857,0.192128,0.186953,0
5,0.356113,0.337023,0.303166,0
6,0.118973,0.119058,0.119268,0
7,0.176226,0.190661,0.278516,0
8,0.0433057,0.0492446,0.0707485,0
9,0.0403641,0.0518227,0.10477,0
10,0.135938,0.135965,0.136062,0
11,0.0480058,0.0441877,0.0352203,0
12,-0.00603498,0.0346317,0.112178,0
13,0.0245807,0.025874,0.0303299,0
14,0.225144,0.240861,0.274716,0
15,0.114524,0.104518,0.0793944,0
